iter	Passed	Remaining
0	2	2542
1	6	3079
2	10	3514
3	15	3768
4	19	3884
5	24	4007
6	29	4219
7	34	4285
8	39	4376
9	45	4490
10	49	4483
11	54	4505
12	59	4542
13	66	4651
14	71	4670
15	76	4730
16	82	4796
17	97	5313
18	105	5428
19	111	5458
20	116	5432
21	122	5445
22	128	5438
23	133	5430
24	139	5447
25	144	5431
26	150	5414
27	157	5452
28	163	5464
29	169	5478
30	175	5495
31	182	5517
32	190	5568
33	196	5570
34	203	5600
35	210	5629
36	217	5650
37	224	5688
38	231	5693
39	238	5723
40	245	5743
41	252	5757
42	259	5771
43	265	5767
44	273	5803
45	280	5816
46	287	5832
47	294	5843
48	302	5874
49	308	5865
50	315	5879
51	322	5871
52	328	5869
53	335	5872
54	340	5858
55	347	5861
56	354	5859
57	360	5858
58	367	5868
59	374	5860
60	381	5866
61	387	5856
62	393	5857
63	399	5847
64	405	5836
65	412	5839
66	418	5831
67	424	5822
68	431	5819
69	437	5816
70	444	5814
71	451	5817
72	458	5826
73	465	5820
74	473	5836
75	478	5819
76	486	5827
77	493	5832
78	500	5834
79	507	5834
80	513	5831
81	519	5815
82	525	5811
83	531	5791
84	537	5790
85	544	5784
86	551	5784
87	556	5769
88	562	5755
89	568	5744
90	573	5731
91	578	5713
92	585	5706
93	589	5685
94	595	5670
95	601	5664
96	607	5651
97	613	5642
98	619	5637
99	624	5620
100	630	5612
101	636	5599
102	641	5584
103	646	5570
104	651	5552
105	656	5533
106	661	5524
107	667	5512
108	672	5497
109	679	5494
110	684	5479
111	689	5463
112	694	5454
113	700	5442
114	704	5423
115	711	5421
116	716	5410
117	722	5403
118	728	5396
119	737	5411
120	745	5417
121	752	5412
122	759	5416
123	766	5417
124	773	5411
125	778	5402
126	784	5391
127	790	5382
128	795	5373
129	801	5360
130	807	5354
131	812	5341
132	817	5326
133	822	5314
134	827	5304
135	832	5287
136	838	5280
137	857	5358
138	865	5362
139	875	5376
140	882	5379
141	890	5378
142	897	5379
143	905	5380
144	911	5373
145	917	5368
146	923	5360
147	930	5354
148	935	5342
149	941	5333
150	946	5321
151	951	5309
152	956	5296
153	962	5289
154	967	5276
155	972	5262
156	978	5254
157	982	5238
158	987	5223
159	993	5213
160	997	5199
161	1002	5188
162	1008	5177
163	1013	5164
164	1017	5151
165	1023	5140
166	1028	5129
167	1032	5115
168	1037	5101
169	1043	5094
170	1047	5080
171	1052	5066
172	1058	5058
173	1063	5049
174	1068	5038
175	1075	5032
176	1080	5023
177	1085	5012
178	1092	5008
179	1097	5000
180	1106	5008
181	1113	5003
182	1119	4997
183	1124	4988
184	1130	4979
185	1136	4973
186	1141	4964
187	1147	4955
188	1153	4950
189	1159	4941
190	1164	4931
191	1170	4923
192	1175	4914
193	1180	4904
194	1185	4894
195	1190	4884
196	1196	4877
197	1202	4870
198	1207	4862
199	1214	4856
200	1219	4846
201	1224	4836
202	1229	4826
203	1234	4817
204	1239	4808
205	1246	4804
206	1251	4793
207	1256	4784
208	1262	4776
209	1267	4768
210	1272	4759
211	1279	4756
212	1284	4746
213	1289	4737
214	1295	4731
215	1301	4723
216	1307	4718
217	1313	4710
218	1318	4703
219	1343	4761
220	1349	4756
221	1358	4759
222	1364	4755
223	1372	4753
224	1377	4746
225	1384	4743
226	1393	4745
227	1398	4736
228	1404	4729
229	1409	4718
230	1413	4706
231	1418	4695
232	1423	4684
233	1427	4673
234	1432	4663
235	1437	4653
236	1442	4643
237	1447	4633
238	1452	4624
239	1457	4615
240	1464	4611
241	1470	4606
242	1476	4600
243	1482	4593
244	1487	4584
245	1493	4577
246	1500	4573
247	1505	4564
248	1510	4554
249	1515	4547
250	1520	4536
251	1524	4524
252	1529	4517
253	1534	4507
254	1539	4496
255	1544	4488
256	1549	4480
257	1554	4470
258	1560	4463
259	1565	4455
260	1570	4445
261	1574	4436
262	1580	4427
263	1584	4418
264	1589	4407
265	1594	4401
266	1599	4392
267	1604	4383
268	1610	4377
269	1615	4367
270	1619	4357
271	1625	4350
272	1630	4341
273	1635	4333
274	1640	4325
275	1645	4317
276	1650	4308
277	1656	4301
278	1661	4294
279	1666	4286
280	1673	4281
281	1678	4273
282	1684	4268
283	1690	4260
284	1695	4253
285	1701	4247
286	1707	4242
287	1712	4233
288	1718	4226
289	1723	4220
290	1728	4211
291	1734	4205
292	1739	4197
293	1744	4189
294	1750	4183
295	1756	4176
296	1761	4169
297	1767	4163
298	1772	4155
299	1777	4146
300	1783	4142
301	1789	4134
302	1794	4126
303	1799	4120
304	1805	4113
305	1810	4106
306	1816	4099
307	1821	4091
308	1826	4083
309	1831	4076
310	1837	4070
311	1842	4063
312	1848	4056
313	1852	4048
314	1858	4040
315	1864	4036
316	1869	4028
317	1875	4021
318	1881	4016
319	1886	4009
320	1892	4003
321	1897	3996
322	1902	3988
323	1908	3982
324	1913	3974
325	1918	3965
326	1923	3959
327	1929	3952
328	1934	3945
329	1940	3938
330	1944	3930
331	1949	3923
332	1956	3918
333	1961	3911
334	1966	3904
335	1972	3898
336	1977	3890
337	1983	3884
338	1989	3878
339	1993	3869
340	1998	3862
341	2004	3856
342	2009	3849
343	2016	3844
344	2022	3839
345	2028	3833
346	2034	3828
347	2039	3821
348	2047	3818
349	2054	3814
350	2060	3810
351	2066	3804
352	2077	3808
353	2084	3804
354	2090	3798
355	2094	3789
356	2099	3780
357	2108	3780
358	2112	3772
359	2116	3763
360	2121	3756
361	2126	3747
362	2131	3739
363	2136	3733
364	2141	3726
365	2155	3734
366	2160	3726
367	2165	3719
368	2171	3713
369	2176	3705
370	2181	3698
371	2186	3691
372	2190	3682
373	2195	3674
374	2200	3667
375	2205	3659
376	2210	3652
377	2215	3645
378	2220	3638
379	2225	3631
380	2230	3623
381	2236	3617
382	2241	3610
383	2247	3604
384	2251	3596
385	2256	3589
386	2262	3583
387	2269	3579
388	2274	3572
389	2279	3566
390	2284	3558
391	2290	3552
392	2303	3557
393	2311	3555
394	2317	3549
395	2322	3542
396	2327	3535
397	2332	3528
398	2337	3521
399	2343	3514
400	2347	3506
401	2351	3498
402	2356	3490
403	2361	3483
404	2365	3475
405	2369	3467
406	2375	3460
407	2380	3453
408	2383	3444
409	2388	3437
410	2393	3429
411	2397	3421
412	2401	3413
413	2407	3407
414	2412	3400
415	2417	3393
416	2422	3387
417	2427	3379
418	2431	3371
419	2437	3366
420	2442	3359
421	2447	3352
422	2454	3348
423	2459	3341
424	2465	3335
425	2470	3329
426	2475	3322
427	2480	3315
428	2486	3309
429	2491	3302
430	2495	3294
431	2500	3288
432	2505	3280
433	2509	3272
434	2514	3266
435	2519	3259
436	2524	3252
437	2529	3245
438	2535	3239
439	2539	3232
440	2545	3226
441	2550	3220
442	2555	3213
443	2560	3206
444	2565	3200
445	2570	3192
446	2574	3185
447	2579	3177
448	2583	3170
449	2588	3163
450	2593	3157
451	2598	3150
452	2603	3144
453	2609	3138
454	2615	3132
455	2620	3125
456	2625	3119
457	2630	3113
458	2635	3106
459	2640	3100
460	2647	3094
461	2653	3089
462	2660	3085
463	2665	3078
464	2670	3072
465	2675	3065
466	2679	3058
467	2683	3050
468	2689	3044
469	2693	3037
470	2697	3030
471	2703	3023
472	2707	3017
473	2712	3009
474	2717	3003
475	2721	2995
476	2725	2988
477	2730	2981
478	2736	2976
479	2741	2969
480	2746	2963
481	2752	2958
482	2756	2951
483	2761	2944
484	2766	2938
485	2771	2931
486	2776	2924
487	2781	2918
488	2787	2912
489	2792	2906
490	2798	2900
491	2802	2893
492	2807	2886
493	2811	2880
494	2816	2873
495	2821	2867
496	2826	2860
497	2831	2854
498	2837	2848
499	2842	2842
500	2848	2836
501	2853	2830
502	2859	2825
503	2865	2819
504	2869	2813
505	2874	2806
506	2879	2800
507	2884	2793
508	2888	2786
509	2894	2780
510	2898	2773
511	2903	2766
512	2907	2760
513	2912	2753
514	2916	2746
515	2921	2740
516	2926	2734
517	2931	2727
518	2936	2721
519	2942	2716
520	2947	2709
521	2951	2702
522	2956	2696
523	2960	2689
524	2964	2682
525	2969	2676
526	2974	2669
527	2978	2662
528	2983	2656
529	2988	2650
530	2992	2643
531	2997	2636
532	3002	2630
533	3007	2624
534	3011	2617
535	3016	2611
536	3021	2605
537	3026	2599
538	3032	2593
539	3037	2587
540	3043	2581
541	3050	2577
542	3055	2571
543	3063	2567
544	3071	2564
545	3079	2560
546	3084	2554
547	3088	2547
548	3092	2540
549	3097	2534
550	3101	2527
551	3105	2520
552	3110	2514
553	3115	2508
554	3119	2501
555	3124	2494
556	3129	2489
557	3134	2482
558	3139	2476
559	3145	2471
560	3149	2464
561	3153	2457
562	3159	2452
563	3163	2445
564	3168	2439
565	3173	2433
566	3178	2427
567	3182	2420
568	3186	2413
569	3192	2408
570	3196	2401
571	3201	2395
572	3206	2389
573	3222	2391
574	3228	2386
575	3233	2380
576	3239	2374
577	3244	2369
578	3251	2363
579	3257	2358
580	3262	2352
581	3268	2347
582	3274	2342
583	3280	2336
584	3287	2332
585	3294	2327
586	3300	2322
587	3306	2317
588	3312	2311
589	3318	2306
590	3324	2300
591	3328	2294
592	3335	2289
593	3340	2283
594	3344	2276
595	3350	2271
596	3355	2265
597	3360	2259
598	3366	2253
599	3371	2247
600	3375	2240
601	3380	2235
602	3385	2228
603	3389	2222
604	3394	2216
605	3399	2209
606	3403	2203
607	3407	2196
608	3413	2191
609	3417	2185
610	3422	2178
611	3427	2172
612	3432	2166
613	3436	2160
614	3441	2154
615	3446	2148
616	3450	2142
617	3455	2135
618	3461	2130
619	3466	2124
620	3472	2119
621	3478	2114
622	3483	2107
623	3488	2101
624	3492	2095
625	3497	2089
626	3501	2083
627	3507	2077
628	3511	2071
629	3516	2065
630	3521	2059
631	3526	2053
632	3530	2047
633	3537	2041
634	3542	2036
635	3546	2029
636	3552	2024
637	3557	2018
638	3562	2012
639	3567	2006
640	3572	2001
641	3577	1995
642	3582	1989
643	3587	1983
644	3592	1977
645	3596	1971
646	3602	1965
647	3606	1959
648	3610	1952
649	3616	1947
650	3621	1941
651	3626	1935
652	3631	1929
653	3636	1923
654	3641	1917
655	3646	1912
656	3651	1906
657	3656	1900
658	3660	1894
659	3666	1888
660	3671	1882
661	3676	1877
662	3681	1871
663	3686	1865
664	3690	1859
665	3696	1853
666	3700	1847
667	3704	1841
668	3710	1835
669	3714	1829
670	3719	1823
671	3725	1818
672	3730	1812
673	3734	1806
674	3740	1800
675	3744	1794
676	3749	1788
677	3754	1783
678	3760	1777
679	3764	1771
680	3769	1765
681	3774	1760
682	3780	1754
683	3785	1748
684	3790	1742
685	3794	1736
686	3799	1730
687	3804	1725
688	3809	1719
689	3813	1713
690	3818	1707
691	3823	1701
692	3827	1695
693	3831	1689
694	3837	1684
695	3842	1678
696	3847	1672
697	3854	1667
698	3859	1661
699	3863	1655
700	3869	1650
701	3874	1644
702	3888	1642
703	3893	1637
704	3899	1631
705	3903	1625
706	3907	1619
707	3912	1613
708	3917	1607
709	3921	1601
710	3926	1595
711	3932	1590
712	3936	1584
713	3940	1578
714	3946	1573
715	3950	1567
716	3955	1561
717	3960	1555
718	3965	1549
719	3974	1545
720	3979	1540
721	3984	1534
722	3989	1528
723	3995	1523
724	4000	1517
725	4005	1511
726	4010	1506
727	4015	1500
728	4020	1494
729	4025	1489
730	4030	1483
731	4051	1483
732	4058	1478
733	4068	1474
734	4076	1469
735	4085	1465
736	4094	1460
737	4102	1456
738	4110	1451
739	4115	1445
740	4122	1440
741	4128	1435
742	4133	1429
743	4139	1424
744	4143	1418
745	4148	1412
